p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.82,160,271,0.63,"83,291","1,709","12,916","2,084",0.55,0.14,0.11,0.04
0.83,157,269,0.63,"83,448","1,552","13,185","1,815",0.54,0.12,0.10,0.03
0.84,154,242,0.61,"83,602","1,398","13,427","1,573",0.53,0.10,0.09,0.03
0.85,149,220,0.60,"83,751","1,249","13,647","1,353",0.52,0.09,0.08,0.03
0.86,123,207,0.63,"83,874","1,126","13,854","1,146",0.50,0.08,0.08,0.02
0.87,125,210,0.63,"83,999","1,001","14,064",936,0.48,0.06,0.07,0.02
0.88,112,176,0.61,"84,111",889,"14,240",760,0.46,0.05,0.06,0.02
0.89,94,131,0.58,"84,205",795,"14,371",629,0.44,0.04,0.05,0.01
0.9,96,124,0.56,"84,301",699,"14,495",505,0.42,0.03,0.05,0.01
0.91,94,99,0.51,"84,395",605,"14,594",406,0.40,0.03,0.04,0.01
0.92,85,93,0.52,"84,480",520,"14,687",313,0.38,0.02,0.03,0.01
0.93,92,74,0.45,"84,572",428,"14,761",239,0.36,0.02,0.03,0.01
0.94,81,54,0.40,"84,653",347,"14,815",185,0.35,0.01,0.02,0.01
0.95,76,26,0.25,"84,729",271,"14,841",159,0.37,0.01,0.02,0.00
0.96,55,18,0.25,"84,784",216,"14,859",141,0.39,0.01,0.01,0.00
0.97,53,17,0.24,"84,837",163,"14,876",124,0.43,0.01,0.01,0.00
0.98,57,120,0.68,"84,894",106,"14,996",4,0.04,0.00,0.01,0.00
0.99,44,4,0.08,"84,938",62,"15,000",0,0.00,0.00,0.00,0.00
1.0,62,0,0.00,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
