p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.42,311,511,0.62,"83,602","1,398","13,427","1,573",0.53,0.10,0.09,0.03
0.43,272,427,0.61,"83,874","1,126","13,854","1,146",0.50,0.08,0.08,0.02
0.44,237,386,0.62,"84,111",889,"14,240",760,0.46,0.05,0.06,0.02
0.45,190,255,0.57,"84,301",699,"14,495",505,0.42,0.03,0.05,0.01
0.46,179,192,0.52,"84,480",520,"14,687",313,0.38,0.02,0.03,0.01
0.47,173,128,0.43,"84,653",347,"14,815",185,0.35,0.01,0.02,0.01
0.48,131,44,0.25,"84,784",216,"14,859",141,0.39,0.01,0.01,0.00
0.49,110,137,0.55,"84,894",106,"14,996",4,0.04,0.00,0.01,0.00
0.5,106,4,0.04,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.51,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.52,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.53,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.54,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.55,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.56,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.57,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.58,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.59,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.6,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.61,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.62,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.63,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.64,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.65,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.66,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.67,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.68,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.69,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.7,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.71,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.72,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.73,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.74,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.75,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.76,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.77,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.78,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.79,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.8,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.81,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.82,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.83,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.84,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.85,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.86,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.87,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.88,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.89,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.9,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.91,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.92,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.93,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.94,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.95,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.96,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.97,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.98,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
0.99,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
1.0,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00,0.00
